Winner,yBinary,title_bout,titleBoutBinary,no_of_rounds,weightClass,weight_class_Bantamweight,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Welterweight,B_current_lose_streak,B_current_win_streak,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_wins,B_Height_cms,B-R_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_wins,R_Height_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Blue,1,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,3,5.875,3.875,5.75,4.25,29.875,12.375,19.5,14.25,40.125,20.875,0,9.125,6.125,2,0,55.125,30.875,0.51375,0.375,2.125,1,0.52,66.625,41.625,3,2,6.625,4.25,3.875,2.375,24.125,7.25,3,1.5,21.375,4.875,0.125,3,2,0.75,0.125,31,11.125,0.32125,1,1.875,0.5,0.16625,34.375,14.125,13,378,0,0,0,1,3,2,6,185.42,12.7,185,0,1,10.5,6.916666667,6.583333333,4.083333333,34.16666667,14.66666667,9.666666667,8.083333333,37.66666667,18,0.25,2.25,1.916666667,2.25,0.166666667,50.41666667,26.83333333,0.506666667,0.666666667,3.666666667,1.083333333,0.303333333,64.58333333,39.33333333,5,3,5.25,3.25,3.583333333,2.166666667,53.08333333,19.08333333,6.25,3.5,55.16666667,19.41666667,0.25,2.5,2.083333333,0,0.083333333,62.91666667,24.75,0.410833333,0,0.25,0.083333333,0.083333333,73.33333333,33.91666667,23,509.1666667,0,0,0,1,4,4,9,185.42,185,30,39,0,1,0,0,0,0,1,0,0
Blue,1,TRUE,1,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,5,16,11.4,10,8,101.6,51.6,2,1.6,77.4,32.6,0.8,20.2,17.2,0.4,0,113.6,61.2,0.55,0.2,0.6,0,0,121.6,68.8,5,0,8,4.6,7.2,4.8,84.4,23.2,0.4,0.4,73.4,15.6,0,10.6,8.2,0.6,0,92,28.4,0.324,0,8,1.2,0.122,101.4,36.4,14,821.6,0,0,1,2,2,0,5,193.04,22.86,185,0,2,10.92857143,8.142857143,8.428571429,5.214285714,88.71428571,35.71428571,7,4.571428571,86.78571429,31.71428571,0.642857143,6.428571429,5.642857143,1.142857143,0.357142857,104.1428571,45.5,0.457857143,0.142857143,1.285714286,0.642857143,0.225714286,122.7857143,61.57142857,5,4,14.07142857,8.642857143,8.571428571,5.5,75.5,25.85714286,3,2.428571429,67.78571429,21,0.071428571,5.214285714,4.142857143,1.214285714,0.357142857,87.07142857,33.78571429,0.382142857,0.214285714,4.428571429,1.642857143,0.258571429,101.0714286,46.07142857,35,707.4285714,1,0,3,2,3,2,10,175.26,185,29,27,0,0,0,0,1,0,0,1,0
Blue,1,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,2,12.5,12,15,12,84,42.5,0,0,74,33,0.5,12.5,9.5,0,0,99,54.5,0.575,0,0.5,0,0,114,68.5,2,0,9,6,11,8.5,89,25.5,0,0,72,13,0,19,15,1,0,100,34,0.38,0,10.5,2.5,0.265,114,46.5,5,708.5,0,0,1,0,1,0,2,193.04,15.24,185,0,4,11.3125,7.1875,10.25,6.75,82.3125,32.125,3.0625,2.125,72.25,23.875,0.1875,12.0625,9.9375,0.5,0.125,95.625,41,0.426875,0,2.9375,0.9375,0.210625,109.125,53.4375,5,4,9.6875,5.5625,12.375,7.9375,59.9375,21.875,2.6875,2.0625,52.8125,17.5,0.25,12.5,8.8125,0.5,0.0625,75,31.875,0.463125,0.4375,4.625,1.0625,0.195625,94.8125,50.3125,43,771.125,0,0,2,8,2,0,12,185.42,185,28,30,0,0,0,0,1,0,1,0,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,1,12,8.2,6.2,4.3,56,26.8,11.7,8,48.8,21.1,0.7,13.1,9.8,0.6,0,73.9,39.1,0.57,0,4.6,1.7,0.271,91.6,55.8,8,1,16.3,8,4.5,2.3,77.1,26,3,1.9,58.3,14.8,0,10,7.4,0.6,0,84.6,30.2,0.344,0.1,3.5,0.7,0.119,93.2,37.6,30,758.2,2,0,1,1,7,0,9,182.88,0,185,0,8,11.16666667,6.5,9,5.333333333,113.3333333,42.83333333,8.916666667,5.666666667,111.8333333,40.41666667,0.666666667,8.25,6.916666667,0.833333333,0,131.25,53.83333333,0.441666667,0,0.5,0.333333333,0.25,140.9166667,62.83333333,8,2,15.08333333,8,6.833333333,4.666666667,97.83333333,33.41666667,1.75,1.416666667,78.58333333,21.58333333,0.166666667,12.75,9.916666667,0.166666667,0.166666667,106.4166667,39.5,0.378333333,0.083333333,4.416666667,0.583333333,0.0725,118.75,50.75,30,677.1666667,2,0,0,5,5,0,10,182.88,185,41,27,0,0,0,1,0,0,1,0,0
Red,0,TRUE,1,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,1,9,7,3.375,2.25,29.75,15.25,21.375,15.75,40.25,21.5,0.25,5.25,4.75,1.5,0,54.5,33.25,0.60125,0.75,1.375,0.625,0.2375,63.75,41.5,5,2,5.75,4.125,2.5,2.25,35.25,13.625,1.5,1.25,30.25,9.75,0.375,3.25,3.25,0.5,0,39.25,17.125,0.4225,0,1.375,0.5,0.125,45.5,23,14,386.5,2,0,0,0,3,3,6,190.5,10.16,185,1,0,11.44444444,8,4.888888889,3.333333333,54.11111111,26.33333333,12.88888889,8.777777778,47.55555556,20.88888889,0.666666667,12.88888889,9.555555556,0.666666667,0,71.88888889,38.44444444,0.58,0,5.111111111,1.888888889,0.301111111,90.77777778,56.22222222,8,1,16.44444444,7.777777778,4.888888889,2.444444444,72.55555556,24,3.333333333,2.111111111,55.11111111,14,0,9.222222222,6.777777778,0.666666667,0,80.77777778,28.55555556,0.341111111,0.111111111,3.888888889,0.777777778,0.132222222,90.33333333,36.77777778,27,763.7777778,1,0,1,1,6,0,8,182.88,185,33,40,0,0,0,1,0,0,0,1,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,2,11.5,8.5,20.5,13,35,18,29.5,20,72.5,42,0.5,1,0.5,2.5,0,85,51,0.675,0,3,1.5,0.5,100,63.5,2,0,10,8,8.5,6,29.5,14,3.5,2,27.5,10,0,4,4,0.5,0,41.5,22,0.55,0.5,3,1,0.2,48,28,4,537,0,0,0,1,1,0,2,185.42,2.54,185,3,0,10.86363636,7.545454545,5.454545455,3.772727273,43.04545455,20.40909091,8.318181818,5.045454545,37.31818182,15.45454545,0.590909091,8.636363636,6.227272727,1.818181818,0.090909091,56.81818182,29.22727273,0.522727273,0.363636364,1,0.636363636,0.279545455,66.59090909,38.63636364,8,8,8.045454545,4.045454545,6.681818182,4.5,42,12.72727273,3.409090909,2.227272727,32.95454545,8.363636364,0.136363636,11.09090909,7.045454545,0.5,0.045454545,52.09090909,19.45454545,0.312727273,0.318181818,3.363636364,0.772727273,0.215909091,65.95454545,32.5,56,694.7727273,5,0,1,6,6,1,14,185.42,185,30,39,0,0,0,1,0,0,0,1,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,2,2,1.25,7.416666667,4.666666667,30.66666667,11.16666667,8.666666667,4.833333333,39.41666667,15.83333333,0.416666667,5.333333333,3.583333333,1.166666667,0,46.75,20.66666667,0.475,0.25,3.916666667,1.083333333,0.119166667,70.83333333,41.5,5,3,6.25,4.916666667,3.916666667,2.666666667,26.83333333,11.58333333,3.416666667,2.833333333,24.66666667,9.666666667,0.083333333,3.25,2.5,0,0,34.16666667,17.08333333,0.325,0,0.416666667,0,0,44.91666667,27.08333333,20,371.5,0,0,0,2,6,1,9,185.42,12.7,185,1,0,6,4,5.111111111,2.777777778,21.55555556,7.888888889,10.77777778,8.777777778,29.88888889,13.88888889,0.111111111,1.555555556,1.555555556,2.666666667,0.111111111,37.44444444,19.44444444,0.505555556,0.777777778,3.777777778,1.333333333,0.392222222,51.88888889,31.66666667,5,2,3.222222222,1.777777778,2.444444444,1.111111111,32.88888889,13.22222222,7.222222222,4.333333333,36.66666667,14.66666667,0.222222222,2.666666667,2.222222222,0,0.111111111,42.55555556,18.66666667,0.443333333,0,0.222222222,0,0,55.11111111,29.55555556,16,468.2222222,0,0,0,1,2,4,7,185.42,185,34,38,0,0,0,1,0,0,1,0,0
Blue,1,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,2,0,11.41666667,8.5,8.916666667,5.25,91.41666667,37.5,6.833333333,4.75,88.58333333,32.75,0.583333333,7.166666667,6.25,1.333333333,0.416666667,107.1666667,47.5,0.461666667,0.166666667,1.5,0.75,0.263333333,128.5833333,65.91666667,5,4,13.83333333,8.25,9.083333333,5.75,78.58333333,26.08333333,2.333333333,1.666666667,70.25,20.58333333,0.083333333,5.916666667,4.666666667,1.166666667,0.333333333,90,33.5,0.375833333,0.166666667,4.416666667,1.833333333,0.2925,105.1666667,46.66666667,31,737.8333333,1,0,2,2,2,2,8,175.26,-10.16,185,1,0,10.07142857,6.928571429,8.607142857,5.428571429,130,45.14285714,9.107142857,5.142857143,127.7857143,40.25,0.285714286,9.857142857,8.535714286,0.535714286,0.071428571,147.7142857,55.71428571,0.383214286,0.178571429,2.142857143,0.928571429,0.238571429,162.5714286,68.85714286,5,8,10.92857143,6.428571429,5.964285714,2.964285714,90.10714286,28.96428571,5.964285714,3.25,81.25,20.71428571,0.392857143,9.857142857,8.035714286,1.357142857,0.071428571,102.0357143,35.17857143,0.349642857,0.285714286,3.5,1.285714286,0.2375,114.0357143,45.17857143,78,777.9642857,4,0,2,8,10,0,20,185.42,185,26,38,0,0,0,1,0,0,1,0,0
Blue,1,TRUE,1,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,12,15.66666667,11.42857143,5.904761905,4.571428571,76.04761905,34.0952381,30,21.04761905,83.57142857,38.52380952,0.380952381,12.71428571,9.761904762,5.571428571,0.238095238,111.952381,59.71428571,0.56,1.095238095,5.619047619,4.142857143,0.728571429,176.4285714,120.1428571,12,2,8.380952381,5.380952381,6.714285714,4.428571429,71.85714286,15.52380952,4.095238095,2.380952381,67.23809524,12.80952381,0.142857143,7.047619048,4.142857143,0.333333333,0.19047619,82.66666667,22.33333333,0.293333333,0.380952381,2.571428571,0.380952381,0.116190476,114.0952381,51.0952381,68,937.7142857,14,0,2,10,5,2,19,180.34,2.54,185,0,5,10.22222222,7.148148148,8.925925926,5.62962963,130.962963,45.88888889,9.37037037,5.259259259,129.1111111,41,0.296296296,9.925925926,8.62962963,0.555555556,0.074074074,149.2592593,56.77777778,0.388148148,0.185185185,2.222222222,0.962962963,0.247407407,163.8518519,69.59259259,5,7,10.88888889,6.481481481,6.148148148,3.037037037,90.03703704,28.59259259,5.222222222,2.666666667,80.85185185,19.96296296,0.37037037,9.666666667,7.851851852,1.333333333,0.074074074,101.4074074,34.2962963,0.344444444,0.259259259,3.481481481,1.222222222,0.218518519,113.4074074,44.33333333,75,774.8148148,3,0,2,8,10,0,20,185.42,185,36,38,0,1,0,0,0,0,1,0,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,2,0,11.28571429,7.857142857,5.714285714,3.952380952,44.61904762,21.23809524,8.714285714,5.285714286,38.80952381,16.0952381,0.619047619,8.952380952,6.523809524,1.904761905,0.095238095,59.04761905,30.47619048,0.533333333,0.380952381,1.047619048,0.666666667,0.292857143,69.28571429,40.33333333,8,7,8.380952381,4.238095238,7,4.714285714,43.0952381,13.0952381,3.333333333,2.095238095,33.71428571,8.380952381,0.095238095,11.33333333,7.285714286,0.523809524,0.047619048,53.42857143,19.9047619,0.308095238,0.333333333,3.523809524,0.80952381,0.226190476,67.95238095,33.57142857,55,720.7142857,5,0,1,6,6,1,14,185.42,-7.62,185,0,1,2.090909091,1.363636364,8.090909091,5.090909091,31.72727273,11.72727273,9,4.818181818,41.45454545,16.54545455,0.363636364,5.272727273,3.727272727,1.272727273,0,48.81818182,21.63636364,0.480909091,0.272727273,4.272727273,1.181818182,0.13,75.09090909,44.36363636,5,3,6.636363636,5.272727273,4.272727273,2.909090909,28.36363636,12.36363636,3.727272727,3.090909091,26.36363636,10.36363636,0.090909091,3.363636364,2.727272727,0,0,36.36363636,18.36363636,0.327272727,0,0.454545455,0,0,48.09090909,29.27272727,19,391.6363636,0,0,0,2,5,1,8,185.42,185,39,33,0,0,0,1,0,0,0,1,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,1,8.2,6.2,9.6,7.8,33.4,8.2,5.4,3.2,33.6,7.6,0,6.6,5.4,2,0,48.4,19.2,0.43,0,6,2,0.396,88,53,2,2,4.6,3.4,6.6,4.4,28.4,6.2,1.6,0.6,31.2,7.6,0,0.8,0.2,0,0,36.6,11.2,0.376,0.6,1.8,1.2,0.3,48.2,20,14,771.8,0,0,1,2,0,0,3,185.42,2.54,185,1,0,8.428571429,6.857142857,2.857142857,2.142857143,29.42857143,14.42857143,17.85714286,13.14285714,37.28571429,18.85714286,0.285714286,4.428571429,4,1.428571429,0,50.14285714,29.71428571,0.59,0.857142857,0.857142857,0.428571429,0.214285714,59,37.71428571,5,2,4.857142857,3.285714286,1.428571429,1.428571429,33.71428571,13.14285714,1.714285714,1.428571429,28.57142857,9.285714286,0.428571429,3.428571429,3.428571429,0.571428571,0,36.85714286,16,0.42,0,1.285714286,0.428571429,0.071428571,40.28571429,19,12,363.8571429,2,0,0,0,2,3,5,190.5,185,35,32,0,1,0,0,0,0,0,1,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,1,0,12.09090909,8.909090909,9.454545455,5.545454545,96.63636364,39.63636364,6.545454545,4.272727273,92.81818182,33.81818182,0.545454545,7.727272727,6.727272727,1.454545455,0.454545455,112.6363636,49.45454545,0.453636364,0.181818182,1.636363636,0.818181818,0.287272727,135.7272727,69.36363636,5,3,14,8.454545455,9.090909091,5.727272727,80.36363636,26.27272727,1.818181818,1.272727273,71.27272727,20.18181818,0.090909091,6,4.636363636,0.818181818,0.363636364,91.27272727,33.27272727,0.367272727,0,3.636363636,1.363636364,0.270909091,103.4545455,44.09090909,28,729.9090909,1,0,2,2,2,2,8,175.26,-17.78,185,3,0,7.25,4.166666667,4.583333333,3,48.66666667,17.41666667,14.66666667,9.666666667,56.25,22.66666667,0.25,4.416666667,3.25,2.333333333,0,67.91666667,30.08333333,0.465833333,0.666666667,4.75,2.416666667,0.6475,86,45.25,9,3,8.833333333,6.333333333,8,5.333333333,48.91666667,18.75,9.75,7.25,52.83333333,21,0.083333333,5,4,0.416666667,0.083333333,66.66666667,31.33333333,0.4225,0.083333333,1.25,0.333333333,0.096666667,78.08333333,40.91666667,29,604.5,5,0,0,3,4,2,9,187.96,185,25,33,0,0,0,1,0,0,1,0,0
Blue,1,TRUE,1,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,7,7.454545455,5,8.727272727,5.181818182,105.9090909,41.36363636,8.454545455,5.454545455,107.1818182,39.90909091,0.727272727,8.454545455,7.090909091,0.818181818,0,123.0909091,52,0.451818182,0,0.545454545,0.363636364,0.272727273,131.5454545,60,7,2,14.81818182,7.636363636,7.181818182,4.818181818,97.63636364,32.72727273,1.545454545,1.181818182,79.54545455,21.72727273,0.181818182,12,9.363636364,0.181818182,0.181818182,106.3636364,38.72727273,0.372727273,0.090909091,3.181818182,0.272727273,0.059090909,113.6363636,45,25,602.3636364,1,0,0,4,5,0,9,182.88,0,185,0,8,10.625,7.5,5.125,3.375,48.375,24.5,14,9.375,45,21,0.75,11.875,8.75,0.75,0,67.5,37.25,0.5975,0,3.5,1.625,0.31125,80.25,49,8,0,12,5.875,4,1.875,57.25,19.625,2,1.375,41.625,10,0,9.625,7,0.625,0,63.25,22.875,0.3425,0.125,4.375,0.875,0.14875,71.125,29.625,22,671.75,0,0,1,1,6,0,8,182.88,185,26,40,0,1,0,0,0,0,0,1,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,5,2.125,1.125,5.25,3.375,30.375,10.375,11.5,5.875,40.25,15.25,0.375,4.75,3.25,1.75,0,47.125,19.625,0.48,0.375,4.25,1.375,0.15375,72.125,42.125,5,1,6.5,5.375,3.125,2.125,26,10.625,3.375,2.875,22,7,0,4,3.25,0,0,32.5,15.625,0.28,0,0.625,0,0,47,29,14,385.625,0,0,0,2,4,1,7,185.42,10.16,185,0,5,7.555555556,5.111111111,9.111111111,5.444444444,115.6666667,43.88888889,7,4.444444444,114.1111111,40.22222222,0.666666667,10.11111111,8.444444444,1,0,131.7777778,53.77777778,0.434444444,0,0.666666667,0.444444444,0.333333333,141.6666667,63.11111111,5,2,17.44444444,8.888888889,6.444444444,4.444444444,113,38.33333333,1.888888889,1.444444444,89.22222222,23.88888889,0.222222222,14.66666667,11.44444444,0.111111111,0.222222222,121.3333333,44.22222222,0.377777778,0.111111111,3.222222222,0.222222222,0.035555556,129.1111111,50.77777778,22,652.3333333,1,0,0,4,3,0,7,182.88,185,32,25,0,0,0,1,0,0,1,0,0
Red,0,FALSE,0,5,middleweight,0,0,0,0,0,0,0,1,0,0,2,0,9.3,6,3.8,3.1,43.7,20.7,7.7,5.4,36.9,15,0.3,9,8.2,0.1,0.4,55.2,29.2,0.542,0.2,1.7,0.7,0.324,65.8,38.8,3,5,8,4.6,7.1,5.5,47.2,17.6,6.2,3.8,38,10.1,0.1,14.5,12.2,2.1,0,60.5,26.9,0.491,0.2,3.1,0.8,0.242,85.8,48.6,21,559.5,1,0,0,1,2,0,5,182.88,7.62,185,0,3,6.2,4.2,6.4,3.8,59.6,26.3,13.1,9.5,64.9,28.4,0.2,8,7,2.1,0.1,79.1,39.6,0.505,0.3,1.4,0.8,0.325,106.5,63,3,3,5.3,2.3,1.2,0.7,41.5,10.4,4.1,3.1,36.8,8.5,0.1,4.7,3.4,0.9,0,46.8,14.2,0.355,0.2,3.2,0.6,0.123,51.7,18.8,24,643.7,0,0,0,3,3,1,7,187.96,185,32,31,0,1,0,0,0,0,1,0,0
Red,0,TRUE,1,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,1,5.647058824,4.705882353,12.52941176,8.705882353,33.82352941,11.41176471,8.647058824,6.058823529,43.11764706,16.52941176,0.411764706,6.235294118,4.941176471,0.588235294,0.176470588,55,26.17647059,0.507058824,0.294117647,1.823529412,0.823529412,0.231764706,70.47058824,40.70588235,4,8,8.588235294,7,8.294117647,5.235294118,43.64705882,18.52941176,14.17647059,9.941176471,52.47058824,22.41176471,0.647058824,5.058823529,4.294117647,2,0,66.11764706,33.70588235,0.521764706,0.470588235,2.882352941,1.058823529,0.32,92.70588235,58.64705882,42,688.5294118,3,0,2,3,4,0,9,180.34,-2.54,185,0,4,9.961538462,7.038461538,9.076923077,5.807692308,123.4615385,43.19230769,9.576923077,5.384615385,122.8076923,39.11538462,0.307692308,9.346153846,8.230769231,0.576923077,0.076923077,142.1153846,54.38461538,0.389615385,0.192307692,2.307692308,1,0.256923077,156.7692308,67.26923077,4,7,11.03846154,6.5,6.153846154,3.076923077,86.03846154,26.96153846,4.653846154,2.461538462,76.96153846,18.96153846,0.307692308,8.846153846,7.038461538,1.346153846,0.076923077,96.84615385,32.5,0.343846154,0.269230769,3.461538462,1.230769231,0.217307692,109.0384615,42.69230769,70,746.9230769,2,0,2,7,10,0,19,185.42,185,46,37,0,1,0,0,0,0,1,0,0
Blue,1,TRUE,1,5,middleweight,0,0,0,0,0,0,0,1,0,0,0,3,10.24,7.2,9.4,6,126.56,44.24,9.84,5.48,126,40.12,0.24,9.56,8.4,0.6,0.08,145.8,55.72,0.3884,0.2,2.4,1.04,0.2672,161.04,69.12,4,7,11.12,6.44,6.36,3.16,88.04,27.4,4.84,2.56,79.08,19.48,0.32,9.04,7.2,1.4,0.08,99.24,33.12,0.3396,0.28,3.6,1.28,0.226,111.92,43.72,69,768.16,1,0,2,7,9,0,18,185.42,-5.08,185,0,5,8.333333333,6.666666667,3.166666667,2.333333333,28.33333333,14.16666667,20.83333333,15.33333333,39.5,21,0.333333333,4.5,4.166666667,1.666666667,0,52.33333333,31.83333333,0.613333333,1,1,0.5,0.25,62.66666667,41.16666667,5,1,5.166666667,3.333333333,1.5,1.5,31.66666667,12.5,1.5,1.166666667,26.16666667,8.5,0.166666667,3.333333333,3.333333333,0.666666667,0,34.66666667,15.16666667,0.42,0,1.5,0.5,0.083333333,38.66666667,18.66666667,11,388.5,1,0,0,0,2,3,5,190.5,185,37,31,0,1,0,0,0,0,0,1,0
